"Title","Season_Num","Episode_Num.Season","Episode_Num.All","Airdate","Guest","Guest1","Guest2","Cooccurrence_Count","Cooccurrence_Prob.exact","Cooccurrence_Prob.leq","Cooccurrence_Prob.geq","Cooccurrence_Prob.extreme","Cooccurrence_Prob.extreme.type"
"""Adam""",1,"1","1","9/11/03","Danny Baker","Danny Baker","Hugh Laurie",1,0.032258064516129,1,0.032258064516129,0.032258064516129,"greater"
"""Adam""",1,"1","1","9/11/03","Hugh Laurie","Hugh Laurie","John Sessions",1,0.0404858299595142,1,0.0404858299595142,0.0404858299595142,"greater"
"""Adam""",1,"1","1","9/11/03","John Sessions","John Sessions","Danny Baker",1,0.251293389712004,0.962767799334115,0.288525590377889,0.288525590377889,"greater"
"""Astronomy""",1,"2","2","9/18/03","Bill Bailey","Bill Bailey","Rich Hall",5,0.145943354170012,0.88566256959823,0.260280784571783,0.260280784571783,"greater"
"""Astronomy""",1,"2","2","9/18/03","Rich Hall","Rich Hall","Jeremy Hardy",1,0.296169841696149,0.948669024182977,0.347500817513172,0.347500817513172,"greater"
"""Astronomy""",1,"2","2","9/18/03","Jeremy Hardy","Jeremy Hardy","Bill Bailey",1,0.361499414897537,0.903748537243845,0.457750877653692,0.457750877653692,"greater"
"""Aquatic Animals""",1,"3","3","9/25/03","Clive Anderson","Clive Anderson","Bill Bailey",1,0.243681167311328,0.333030928658816,0.910650238652512,0.333030928658816,"less"
"""Aquatic Animals""",1,"3","3","9/25/03","Bill Bailey","Bill Bailey","Meera Syal",1,0.140127388535035,1,0.140127388535035,0.140127388535035,"greater"
"""Aquatic Animals""",1,"3","3","9/25/03","Meera Syal","Meera Syal","Clive Anderson",1,0.0613496932515337,1,0.0613496932515337,0.0613496932515337,"greater"
"""Atoms""",1,"4","4","10/2/03","Jo Brand","Jo Brand","Howard Goodall",2,0.0204410679638184,1,0.0204410679638184,0.0204410679638184,"greater"
"""Atoms""",1,"4","4","10/2/03","Howard Goodall","Howard Goodall","Jeremy Hardy",1,0.0316770486262012,0.999806847264474,0.0318702013617268,0.0318702013617268,"greater"
"""Atoms""",1,"4","4","10/2/03","Jeremy Hardy","Jeremy Hardy","Jo Brand",2,0.0918234113117866,0.989802360169699,0.102021051142087,0.102021051142087,"greater"
"""Advertising""",1,"5","5","10/9/03","Gyles Brandreth","Gyles Brandreth","Rob Brydon",1,0.115868127429697,0.99646589589539,0.119402231534306,0.119402231534306,"greater"
"""Advertising""",1,"5","5","10/9/03","Rob Brydon","Rob Brydon","Rich Hall",3,0.135466073345509,0.946211590724282,0.189254482621227,0.189254482621227,"greater"
"""Advertising""",1,"5","5","10/9/03","Rich Hall","Rich Hall","Gyles Brandreth",1,0.181094110249424,0.990358415426535,0.190735694822888,0.190735694822888,"greater"
"""Antidotes""",1,"6","6","10/16/03","Danny Baker","Danny Baker","Jo Brand",2,0.236311659091758,0.904266692429814,0.332044966661945,0.332044966661945,"greater"
"""Antidotes""",1,"6","6","10/16/03","Jo Brand","Jo Brand","Howard Goodall",2,0.0204410679638184,1,0.0204410679638184,0.0204410679638184,"greater"
"""Antidotes""",1,"6","6","10/16/03","Howard Goodall","Howard Goodall","Danny Baker",1,0.0628107825176655,0.999084009421617,0.0637267730960482,0.0637267730960482,"greater"
"""Arthropods""",1,"7","7","10/23/03","Jo Brand","Jo Brand","Jimmy Carr",7,0.0663204750423038,0.960107687879252,0.106212787163052,0.106212787163052,"greater"
"""Arthropods""",1,"7","7","10/23/03","Jimmy Carr","Jimmy Carr","Jackie Clune",1,0.117647058823529,1,0.117647058823529,0.117647058823529,"greater"
"""Arthropods""",1,"7","7","10/23/03","Jackie Clune","Jackie Clune","Jo Brand",1,0.14468085106383,1,0.14468085106383,0.14468085106383,"greater"
"""Albania""",1,"8","8","10/30/03","Clive Anderson","Clive Anderson","Sean Lock",2,0.291918151314999,0.773602348335384,0.518315802979615,0.518315802979615,"greater"
"""Albania""",1,"8","8","10/30/03","Sean Lock","Sean Lock","Linda Smith",2,0.0309842310517272,0.998836273012142,0.0321479580395855,0.0321479580395855,"greater"
"""Albania""",1,"8","8","10/30/03","Linda Smith","Linda Smith","Clive Anderson",1,0.164044786950153,0.989736881265926,0.174307905684227,0.174307905684227,"greater"
"""Africa""",1,"9","9","11/6/03","Jo Brand","Jo Brand","Dave Gorman",1,0.249009373377423,0.979558932036182,0.269450441341241,0.269450441341241,"greater"
"""Africa""",1,"9","9","11/6/03","Dave Gorman","Dave Gorman","Jeremy Hardy",1,0.0316770486262012,0.999806847264474,0.0318702013617268,0.0318702013617268,"greater"
